,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
11217,Y,191510,0,720.0,486457.0,2.0,1,0,9080.48,39.2,15.0,15,0,197315,360360.0,0.0,0.0
11218,N,492140,0,694.0,1489980.0,5.0,1,0,29675.34,24.4,74.0,15,0,374148,1186922.0,0.0,0.0
11219,Y,317746,0,708.0,738245.0,7.0,0,0,14211.24,17.5,32.0,14,0,235106,371382.0,0.0,0.0
11220,Y,298716,1,728.0,1527904.0,10.0,0,0,16055.76,19.5,79.0,11,0,727453,1161820.0,0.0,0.0
11221,Y,99999999,0,686.0,764047.0,10.0,0,0,7385.68,15.0,30.0,9,1,43510,196064.0,1.0,0.0
11222,Y,99999999,0,720.0,745560.0,3.0,2,0,18204.09,16.4,34.0,19,0,204839,380094.0,0.0,0.0
11223,Y,660132,1,714.0,1520304.0,9.0,0,0,30532.81,12.6,78.0,11,0,430559,761112.0,0.0,0.0
11224,Y,121814,0,726.0,1625982.0,10.0,1,5,25473.87,30.3,17.0,13,0,211147,766414.0,0.0,0.0
11225,Y,240966,0,732.0,1872906.0,10.0,0,0,21538.4,29.4,2.0,10,0,20406,606056.0,0.0,0.0
11226,Y,248248,0,746.0,1768406.0,8.0,0,0,21663.04,18.9,7.0,10,0,282150,772332.0,0.0,0.0
11227,Y,392942,0,641.0,1158582.0,10.0,1,0,22978.6,17.2,41.0,11,0,195548,541684.0,0.0,0.0
11228,Y,282304,1,706.0,615467.0,10.0,1,0,8103.88,17.0,36.0,11,0,229406,396484.0,0.0,0.0
11229,N,290466,1,659.0,1114369.0,10.0,2,0,17179.8,18.5,64.0,17,1,169347,734404.0,1.0,0.0
11230,Y,381436,0,742.0,2034710.0,10.0,0,2,11072.25,18.8,32.0,7,0,0,0.0,0.0,0.0
11231,Y,515812,0,736.0,1484888.0,2.0,0,0,11012.78,19.0,35.0,8,0,105792,478544.0,0.0,0.0
11232,Y,431640,1,622.0,1342008.0,10.0,0,0,23731.19,22.6,35.0,11,1,263644,373186.0,1.0,0.0
11233,Y,99999999,1,678.0,1606279.0,0.0,0,0,14858.0,29.5,23.0,20,1,203205,312884.0,1.0,0.0
11234,Y,292710,0,687.0,1210376.0,3.0,1,0,13415.14,32.8,41.0,10,1,171475,328746.0,1.0,0.0
11235,Y,222970,1,716.0,962825.0,5.0,0,0,4950.45,14.6,43.0,5,0,94430,223146.0,0.0,0.0
11236,N,155628,0,7240.0,466697.0,3.0,1,0,6339.16,16.8,32.0,4,0,147421,177254.0,0.0,0.0
11237,N,444400,0,6680.0,4241826.0,2.0,2,1,33969.91,7.4,6.0,11,2,55385,227370.0,0.0,2.0
11238,Y,316932,0,719.0,1451011.0,9.0,0,0,20193.01,27.8,10.0,19,0,233624,711876.0,0.0,0.0
11239,Y,752752,1,721.0,2043184.0,10.0,0,0,27072.15,23.3,40.0,14,0,390545,688292.0,0.0,0.0
11240,Y,193688,0,716.0,1520760.0,3.0,2,0,23191.59,25.5,13.0,9,4,28158,101222.0,0.0,2.0
11241,N,440968,1,715.0,1250200.0,10.0,0,0,31775.6,13.4,66.0,16,0,414846,672782.0,0.0,0.0
11242,Y,435292,1,633.0,1127802.0,10.0,0,0,14097.62,16.8,30.0,14,0,234365,526922.0,0.0,0.0
11243,Y,99999999,0,712.0,905711.0,10.0,1,0,11321.34,20.1,15.0,6,0,207765,421322.0,0.0,0.0
11244,Y,99999999,0,740.0,851542.0,8.0,0,6,1866.37,29.1,65.0,12,0,299801,1176758.0,0.0,0.0
11245,Y,100694,0,667.0,1020965.0,2.0,3,7,14123.46,17.7,80.0,7,1,12673,32824.0,1.0,0.0
11246,Y,99999999,0,699.0,1133388.0,7.0,0,0,29279.19,11.1,45.0,15,0,240426,518430.0,0.0,0.0
11247,N,438372,1,709.0,1609034.0,10.0,2,0,24403.6,17.2,48.0,15,0,288439,499972.0,0.0,0.0
11248,Y,411026,0,688.0,1545061.0,7.0,0,0,20858.39,27.0,22.0,8,0,141797,173008.0,0.0,0.0
11249,Y,214258,0,738.0,1252917.0,8.0,0,0,19524.59,16.0,33.0,10,0,71022,269654.0,0.0,0.0
11250,Y,404822,0,738.0,1719006.0,2.0,0,0,19195.51,16.2,14.0,9,0,377093,622886.0,0.0,0.0
11251,Y,430672,1,687.0,1390116.0,0.0,0,0,25717.07,16.8,21.0,11,0,136971,328328.0,0.0,0.0
11252,N,110198,0,713.0,2242228.0,10.0,1,0,30643.77,12.8,55.0,20,1,424650,829180.0,1.0,0.0
11253,Y,437844,1,723.0,1512552.0,0.0,0,0,34284.36,26.0,14.0,11,0,616379,1603844.0,0.0,0.0
11254,Y,156288,0,746.0,2039289.0,3.0,1,0,26000.93,16.3,13.0,15,0,520087,982410.0,0.0,0.0
11255,Y,540826,1,735.0,1774866.0,10.0,0,0,12290.91,23.8,57.0,8,0,484709,1810424.0,0.0,0.0
11256,Y,99999999,1,644.0,1587070.0,7.0,1,2,25921.89,9.8,22.0,3,0,119073,194436.0,0.0,0.0
11257,Y,66660,0,718.0,611819.0,10.0,0,0,11757.2,32.8,52.0,9,0,136287,225434.0,0.0,0.0
11258,Y,407726,0,701.0,1215867.0,3.0,1,0,7599.05,12.2,19.0,13,0,120099,195888.0,0.0,0.0
11259,Y,178904,0,747.0,463524.0,2.0,1,0,11317.73,39.0,80.0,10,1,122911,781968.0,1.0,0.0
11260,Y,67012,0,713.0,1369501.0,10.0,1,0,24651.17,15.0,60.0,7,0,93138,216568.0,0.0,0.0
11261,N,375826,0,5900.0,1821549.0,10.0,1,9,8136.37,18.5,19.0,7,0,113316,539990.0,0.0,0.0
11262,Y,184316,0,717.0,928587.0,4.0,1,0,18107.38,18.6,67.0,11,0,117363,193028.0,0.0,0.0
11263,Y,134156,0,740.0,2057548.0,10.0,2,0,15740.17,26.2,4.0,13,0,101992,270226.0,0.0,0.0
11264,Y,767844,0,727.0,2652552.0,6.0,0,2,38240.92,20.4,5.0,9,0,206188,855690.0,0.0,0.0
11265,Y,40216,0,721.0,592781.0,5.0,1,0,4554.49,11.5,33.0,8,0,24795,212674.0,0.0,0.0
11266,Y,398684,1,692.0,994726.0,5.0,0,0,17241.74,18.7,50.0,8,0,429723,593758.0,0.0,0.0
11267,N,357060,0,736.0,2120096.0,6.0,0,0,28974.62,23.3,76.0,14,0,345496,477950.0,0.0,0.0
11268,Y,99999999,0,709.0,1336992.0,10.0,1,0,11810.02,20.9,25.0,6,0,52668,65714.0,0.0,0.0
11269,Y,22176,0,740.0,957980.0,6.0,0,1,3257.17,22.7,11.0,5,0,94943,259248.0,0.0,0.0
11270,N,171622,0,7370.0,889295.0,1.0,1,0,14821.52,11.9,23.0,19,0,90478,139502.0,0.0,0.0
11271,Y,568106,1,698.0,1698372.0,10.0,0,0,24343.37,19.9,33.0,13,1,191995,733700.0,0.0,0.0
11272,N,177760,0,693.0,1343300.0,10.0,0,1,18918.11,32.6,6.0,19,0,188556,811646.0,0.0,0.0
11273,N,465366,1,693.0,1913870.0,2.0,0,1,28708.05,17.1,46.0,11,0,612617,789030.0,0.0,0.0
11274,N,633930,1,682.0,1650207.0,10.0,0,0,22140.32,35.0,9.0,8,0,108509,177210.0,0.0,0.0
11275,Y,177166,0,686.0,459002.0,0.0,1,1,8529.86,13.1,37.0,13,0,176624,308000.0,0.0,0.0
11276,Y,133826,0,741.0,1285635.0,10.0,0,0,12749.19,23.9,31.0,4,0,60382,84744.0,0.0,0.0
11277,Y,486288,0,693.0,1001281.0,4.0,1,0,15185.94,26.6,31.0,5,0,26638,105292.0,0.0,0.0
11278,Y,220242,1,722.0,1027121.0,10.0,0,0,16947.62,30.8,55.0,14,0,298642,493306.0,0.0,0.0
11279,Y,110836,0,731.0,612560.0,6.0,1,0,9800.96,18.0,26.0,6,0,118655,203852.0,0.0,0.0
11280,N,164824,0,7030.0,1328537.0,2.0,1,0,18377.94,13.5,16.0,16,0,227107,659054.0,0.0,0.0
11281,Y,129866,0,740.0,1364675.0,10.0,0,1,21834.8,19.8,49.0,9,0,82479,285934.0,0.0,0.0
11282,Y,177540,0,714.0,873392.0,8.0,1,0,9607.16,18.5,2.0,9,0,128573,436612.0,0.0,0.0
11283,Y,87846,0,662.0,748999.0,10.0,2,0,18600.24,13.6,74.0,9,0,72846,177936.0,0.0,0.0
11284,Y,239316,0,712.0,2917830.0,10.0,0,0,9361.3,19.7,7.0,10,0,96216,132924.0,0.0,0.0
11285,Y,245960,1,632.0,1744846.0,10.0,0,0,30534.9,23.1,30.0,20,0,206454,612986.0,0.0,0.0
11286,N,157014,0,7270.0,1162344.0,6.0,1,0,5404.93,42.4,20.0,6,0,92112,114444.0,0.0,0.0
11287,Y,110440,0,728.0,1112127.0,10.0,0,0,20667.06,33.0,19.0,13,0,282264,384516.0,0.0,0.0
11288,Y,372658,1,687.0,1245260.0,8.0,1,0,21376.71,17.0,51.0,8,1,140467,222794.0,1.0,0.0
11289,Y,378994,1,688.0,1301804.0,9.0,2,0,22022.33,16.0,10.0,13,0,320093,602668.0,0.0,0.0
11290,Y,674058,1,628.0,3104752.0,6.0,0,2,43725.27,10.4,39.0,16,0,197372,314776.0,0.0,0.0
11291,Y,246752,0,742.0,1162344.0,7.0,1,0,15013.61,15.6,62.0,17,0,165718,508970.0,0.0,0.0
11292,Y,39776,0,734.0,973161.0,5.0,1,7,19625.48,14.9,62.0,11,0,109858,158994.0,0.0,0.0
11293,Y,77880,0,706.0,1120962.0,10.0,0,1,17374.93,14.8,50.0,14,0,137617,226996.0,0.0,0.0
11294,N,166210,0,702.0,1159950.0,8.0,0,1,4214.58,10.2,8.0,10,0,139802,688776.0,0.0,0.0
11295,Y,310904,1,676.0,891803.0,10.0,1,0,11251.61,17.6,12.0,13,0,205200,355146.0,0.0,0.0
11296,Y,99999999,0,707.0,1348753.0,5.0,1,0,7496.83,16.0,23.0,14,0,149834,443674.0,0.0,0.0
11297,Y,244838,0,734.0,853860.0,6.0,2,0,2269.74,11.7,72.0,8,0,113373,334048.0,0.0,0.0
11298,Y,99999999,0,722.0,768873.0,1.0,1,0,13198.92,13.9,72.0,16,0,80921,286528.0,0.0,0.0
11299,Y,221496,0,741.0,956460.0,10.0,0,0,10042.83,24.0,47.0,9,1,102562,241384.0,1.0,0.0
11300,Y,392194,0,738.0,1919399.0,10.0,0,0,25112.11,37.4,9.0,27,0,261858,910558.0,0.0,0.0
11301,N,333872,0,6970.0,1806900.0,10.0,1,0,8477.42,26.8,68.0,5,0,129333,155826.0,0.0,0.0
11302,N,78144,0,732.0,984238.0,1.0,2,1,25754.12,19.9,4.0,5,0,90212,193094.0,0.0,0.0
11303,Y,463210,1,636.0,1136238.0,9.0,0,0,7489.61,12.0,41.0,8,0,83391,390962.0,0.0,0.0
11304,N,268510,0,741.0,1449377.0,10.0,2,0,24880.88,12.0,31.0,14,0,103892,362340.0,0.0,0.0
11305,N,258852,1,6880.0,838337.0,2.0,1,0,7614.82,14.7,38.0,8,0,93917,161810.0,0.0,0.0
11306,Y,554400,0,698.0,2298240.0,2.0,1,1,6243.59,17.8,6.0,10,0,60762,1134892.0,0.0,0.0
11307,N,397826,1,7160.0,803966.0,10.0,0,2,11188.53,17.6,49.0,13,2,55822,593076.0,1.0,0.0
11308,Y,438064,0,741.0,1035025.0,3.0,0,0,9573.91,28.0,9.0,16,0,74575,612348.0,0.0,0.0
11309,Y,265892,0,692.0,656089.0,8.0,1,0,13941.82,14.6,74.0,10,0,160474,223608.0,0.0,0.0
11310,Y,328394,1,734.0,1607096.0,0.0,1,0,19968.05,40.9,10.0,8,0,74765,221386.0,0.0,0.0
11311,Y,105996,0,696.0,1048876.0,6.0,0,1,26833.51,20.3,24.0,10,0,86146,220660.0,0.0,0.0
11312,Y,99999999,0,751.0,2318228.0,4.0,0,0,18043.54,22.5,23.0,20,0,590064,1908478.0,0.0,0.0
11313,Y,38962,0,723.0,711303.0,4.0,1,0,2904.34,9.4,18.0,8,0,57969,316580.0,0.0,0.0
11314,Y,99999999,1,726.0,1010040.0,0.0,0,0,15150.41,10.2,19.0,11,0,169347,271986.0,0.0,0.0
11315,Y,99999999,0,743.0,1312444.0,6.0,0,2,15202.47,16.1,51.0,20,0,196042,425876.0,0.0,0.0
11316,N,440792,0,733.0,1046881.0,0.0,1,0,19367.27,8.5,71.0,8,0,309149,515790.0,0.0,0.0
11317,Y,99999999,0,731.0,485355.0,6.0,1,0,8979.02,23.2,27.0,18,0,90098,347710.0,0.0,0.0
11318,Y,53834,0,724.0,1264602.0,2.0,0,1,18020.74,13.9,32.0,9,0,93385,150810.0,0.0,0.0
11319,Y,226622,0,738.0,1995950.0,2.0,0,0,35261.72,16.4,48.0,16,0,82916,152636.0,0.0,0.0
11320,Y,99999999,0,742.0,444429.0,6.0,0,0,4814.79,22.0,3.0,11,1,133494,396352.0,1.0,0.0
11321,Y,198000,0,714.0,1330000.0,10.0,0,1,20681.5,20.0,42.0,4,0,139650,215600.0,0.0,0.0
11322,Y,99999999,0,746.0,750044.0,0.0,1,0,6688.0,11.8,20.0,7,0,49001,78144.0,0.0,0.0
11323,N,159016,0,711.0,667603.0,0.0,1,0,13407.54,16.2,65.0,10,0,137541,245014.0,0.0,0.0
11324,Y,323070,0,738.0,2232120.0,6.0,1,0,18787.01,15.6,17.0,12,0,214415,346742.0,0.0,0.0
11325,Y,99999999,0,708.0,1084729.0,10.0,0,0,22508.16,14.5,13.0,10,1,227943,418946.0,1.0,0.0
11326,Y,313632,1,716.0,3095632.0,9.0,0,1,28118.67,16.1,16.0,15,0,145464,273416.0,0.0,0.0
11327,Y,533852,1,641.0,1133445.0,10.0,2,2,32114.37,28.0,71.0,11,0,150233,275682.0,0.0,0.0
11328,Y,109846,0,715.0,2276580.0,10.0,1,1,60519.18,29.6,26.0,17,0,542146,935550.0,0.0,0.0
11329,N,220880,0,702.0,1087332.0,9.0,0,0,22652.75,24.3,44.0,12,0,104386,245146.0,0.0,0.0
11330,Y,62524,0,683.0,751184.0,5.0,1,0,13208.23,25.9,19.0,5,0,35264,145838.0,0.0,0.0
11331,Y,151734,0,748.0,973484.0,10.0,0,0,9897.1,16.5,39.0,9,0,151373,331958.0,0.0,0.0
11332,Y,99999999,0,732.0,667204.0,3.0,1,1,9451.93,11.7,8.0,7,0,12787,19844.0,0.0,0.0
11333,Y,331980,0,732.0,1529120.0,3.0,1,0,18731.72,33.9,10.0,7,0,464911,617320.0,0.0,0.0
11334,N,216744,0,739.0,748752.0,5.0,1,3,7799.5,6.8,34.0,9,0,83733,249238.0,0.0,0.0
11335,Y,421894,1,654.0,1423290.0,9.0,0,0,17316.79,12.9,76.0,11,0,155382,195558.0,0.0,0.0
11336,N,444048,1,7410.0,1533984.0,1.0,0,0,12783.2,26.5,43.0,10,0,456399,686312.0,0.0,0.0
11337,Y,511940,0,699.0,1005689.0,10.0,0,0,14750.08,23.2,62.0,11,0,104956,300806.0,0.0,0.0
11338,N,153318,0,670.0,620369.0,10.0,0,0,12872.69,23.4,8.0,7,0,75031,111672.0,0.0,0.0
11339,Y,570482,1,669.0,1624538.0,10.0,1,0,26534.26,22.8,67.0,18,0,207556,651288.0,0.0,0.0
11340,Y,329912,0,719.0,1139658.0,10.0,1,0,11206.58,15.2,34.0,8,0,142291,206712.0,0.0,0.0
11341,Y,542520,1,645.0,1623018.0,10.0,1,0,16230.18,13.0,22.0,6,0,148219,197494.0,0.0,0.0
11342,Y,346786,0,709.0,1216722.0,10.0,1,0,8963.06,21.2,19.0,9,0,284981,431332.0,0.0,0.0
11343,Y,99999999,0,744.0,1441986.0,4.0,0,0,12136.63,17.0,46.0,10,0,316654,1012814.0,0.0,0.0
11344,N,173404,0,7000.0,520885.0,3.0,1,0,13369.35,13.3,64.0,11,0,130169,374902.0,0.0,0.0
11345,N,605594,0,739.0,3362202.0,2.0,0,0,45669.92,21.7,14.0,17,0,780615,1646392.0,0.0,0.0
11346,Y,38016,0,622.0,1662101.0,10.0,1,9,27147.58,18.3,32.0,8,0,272308,679558.0,0.0,0.0
11347,Y,166606,0,678.0,683183.0,10.0,0,0,17079.67,15.1,58.0,8,0,267121,481756.0,0.0,0.0
11348,Y,66968,0,721.0,693994.0,5.0,1,0,10236.25,17.4,46.0,9,1,44745,147180.0,1.0,0.0
11349,Y,452848,1,682.0,1452664.0,6.0,1,0,5677.39,17.0,74.0,5,2,328757,491810.0,0.0,2.0
11350,Y,325688,1,725.0,1593853.0,10.0,0,0,13149.14,17.9,32.0,9,0,153577,249744.0,0.0,0.0
11351,N,79508,0,646.0,572223.0,0.0,1,0,14687.0,12.9,11.0,14,0,91694,121462.0,0.0,0.0
11352,N,446952,1,652.0,1833519.0,2.0,2,2,20015.93,15.0,31.0,13,0,315229,573914.0,0.0,0.0
11353,Y,482394,1,697.0,1463152.0,3.0,2,0,42797.12,10.0,78.0,10,0,637545,966240.0,0.0,0.0
11354,Y,67584,0,716.0,856140.0,10.0,0,0,9417.54,12.3,48.0,9,0,198265,565422.0,0.0,0.0
11355,N,364628,1,675.0,1159152.0,10.0,0,1,8123.64,20.5,51.0,7,0,238355,527714.0,0.0,0.0
11356,Y,79178,0,744.0,1519696.0,0.0,2,0,13803.88,27.1,46.0,12,0,169936,406538.0,0.0,0.0
11357,Y,359106,0,739.0,1124268.0,10.0,0,0,31854.07,23.0,42.0,23,0,200013,701844.0,0.0,0.0
11358,Y,97262,0,718.0,839952.0,7.0,2,0,8609.47,15.3,7.0,5,0,62719,86460.0,0.0,0.0
11359,Y,338074,0,720.0,1711881.0,10.0,1,0,22682.39,14.0,63.0,11,1,92511,209220.0,1.0,0.0
11360,Y,334224,0,736.0,1712641.0,5.0,1,3,770.64,18.2,73.0,8,2,7676,444510.0,2.0,0.0
11361,Y,216788,0,738.0,1348031.0,10.0,1,0,10615.68,30.6,40.0,9,0,127395,388168.0,0.0,0.0
11362,Y,333476,0,719.0,1439972.0,10.0,1,0,19319.58,18.8,8.0,9,1,339112,671220.0,1.0,0.0
11363,Y,627572,1,702.0,1742148.0,10.0,0,0,18582.95,16.8,12.0,8,0,411293,555698.0,0.0,0.0
11364,Y,638660,1,656.0,1226032.0,7.0,0,0,26053.37,20.2,49.0,10,0,547143,1151876.0,0.0,0.0
11365,Y,646668,0,710.0,2233944.0,1.0,0,0,51008.35,15.0,64.0,10,0,2637010,4194212.0,0.0,0.0
11366,Y,243166,0,730.0,1718208.0,8.0,1,0,17325.34,13.8,21.0,15,0,122740,335984.0,0.0,0.0
11367,Y,99999999,0,728.0,1047831.0,10.0,1,0,10478.31,16.3,34.0,9,0,208810,492404.0,0.0,0.0
11368,Y,270314,0,744.0,1167246.0,10.0,0,2,21788.63,16.2,13.0,16,1,240901,586014.0,1.0,0.0
11369,Y,65362,0,725.0,1505104.0,6.0,1,0,13044.26,21.3,45.0,11,0,39748,371206.0,0.0,0.0
11370,Y,99999999,0,726.0,932995.0,7.0,1,0,12984.03,12.8,38.0,12,0,161918,308858.0,0.0,0.0
11371,Y,772310,0,739.0,3472193.0,10.0,0,0,29802.83,43.4,48.0,12,0,171114,500324.0,0.0,0.0
11372,Y,494978,1,672.0,1240434.0,0.0,2,0,19950.38,19.4,10.0,13,0,115691,201124.0,0.0,0.0
11373,Y,193974,0,699.0,781793.0,9.0,1,0,12834.5,16.3,71.0,15,1,130169,351340.0,1.0,0.0
11374,Y,141218,0,680.0,1138974.0,2.0,2,1,3454.96,12.5,14.0,7,1,21755,92268.0,0.0,1.0
11375,N,660000,0,728.0,1425000.0,10.0,0,0,8858.75,20.2,7.0,4,0,26011,242880.0,0.0,0.0
11376,Y,267630,0,718.0,1104907.0,6.0,0,0,17862.85,16.4,63.0,7,0,227202,393250.0,0.0,0.0
11377,Y,99999999,0,729.0,1895896.0,10.0,1,0,15435.6,20.2,29.0,3,0,530328,724130.0,0.0,0.0
11378,Y,75966,1,698.0,262466.0,5.0,1,4,656.07,9.0,17.0,5,0,9063,34716.0,0.0,0.0
11379,N,490050,1,739.0,1301652.0,0.0,2,0,12474.26,18.8,46.0,11,0,285646,453090.0,0.0,0.0
11380,Y,320760,0,729.0,2288664.0,0.0,1,0,21170.18,13.7,36.0,11,0,286995,388674.0,0.0,0.0
11381,Y,161348,0,748.0,1207716.0,10.0,0,0,14895.05,28.7,9.0,22,0,144077,1104752.0,0.0,0.0
11382,N,212784,0,727.0,2069803.0,10.0,1,0,44845.51,16.3,80.0,26,0,378499,989296.0,0.0,0.0
11383,Y,578732,1,713.0,1137036.0,10.0,0,0,21224.71,21.8,75.0,13,0,584858,873796.0,0.0,0.0
11384,Y,353232,0,719.0,1906650.0,1.0,1,6,20973.15,10.2,40.0,8,0,80237,293986.0,0.0,0.0
11385,N,268708,0,730.0,667128.0,5.0,1,2,9450.98,11.2,23.0,17,0,207974,718828.0,0.0,0.0
11386,N,333960,0,711.0,961400.0,9.0,1,0,16263.62,16.4,19.0,12,0,295507,433114.0,0.0,0.0
11387,Y,99999999,0,714.0,657153.0,5.0,1,0,10733.48,8.4,15.0,11,0,152646,323708.0,0.0,0.0
11388,Y,662244,1,681.0,1715814.0,0.0,1,0,19445.93,15.7,0.0,8,0,414675,881012.0,0.0,0.0
11389,Y,537284,0,717.0,1651993.0,1.0,0,0,14317.26,15.8,40.0,10,0,205314,443520.0,0.0,0.0
11390,Y,582648,1,683.0,1898860.0,0.0,0,2,6250.43,15.4,42.0,11,0,244986,538274.0,0.0,0.0
11391,Y,333806,0,700.0,826405.0,8.0,1,0,7093.08,18.7,36.0,10,0,248102,411598.0,0.0,0.0
11392,Y,99999999,1,727.0,2054888.0,10.0,0,0,43666.37,15.7,46.0,8,0,158270,222662.0,0.0,0.0
11393,Y,80212,0,717.0,3560353.0,0.0,1,0,18068.81,19.2,37.0,15,0,218918,285120.0,0.0,0.0
11394,Y,223102,0,748.0,1685946.0,10.0,0,0,19655.12,33.8,67.0,6,0,494760,936100.0,0.0,0.0
11395,Y,273966,0,706.0,697300.0,10.0,2,0,12551.21,17.5,9.0,7,0,29735,193446.0,0.0,0.0
11396,N,320848,0,732.0,772388.0,3.0,0,0,16735.2,15.2,19.0,20,0,67735,320122.0,0.0,0.0
11397,N,533456,1,682.0,1026342.0,3.0,0,0,15908.13,11.6,44.0,10,0,153292,246510.0,0.0,0.0
11398,Y,178332,0,724.0,673854.0,10.0,0,0,15049.33,29.5,37.0,18,1,155515,285384.0,1.0,0.0
11399,Y,132572,0,717.0,2385450.0,4.0,1,5,26239.95,20.5,30.0,10,1,40299,188166.0,1.0,0.0
11400,Y,254034,1,696.0,968620.0,10.0,0,0,14367.99,20.9,13.0,15,0,349030,612326.0,0.0,0.0
11401,Y,39116,0,724.0,2496182.0,0.0,0,2,40979.01,15.9,18.0,14,0,480358,669306.0,0.0,0.0
11402,Y,603922,1,673.0,2221499.0,0.0,0,0,13273.59,22.4,45.0,11,0,175370,369182.0,0.0,0.0
11403,Y,264220,0,707.0,3993192.0,1.0,1,3,68217.03,23.8,24.0,8,0,449407,618728.0,0.0,0.0
11404,Y,119416,0,656.0,778316.0,2.0,2,0,4708.77,19.0,17.0,6,4,27626,60830.0,0.0,0.0
11405,Y,335720,0,679.0,1179045.0,10.0,2,0,13853.85,17.2,67.0,25,1,186390,620158.0,0.0,0.0
11406,N,501952,1,659.0,1143306.0,10.0,0,0,18007.06,26.8,5.0,16,0,337174,1084512.0,0.0,0.0
11407,Y,417802,1,666.0,1481259.0,1.0,1,0,14565.78,24.6,35.0,5,0,40071,365332.0,0.0,0.0
11408,Y,439164,0,735.0,1156796.0,6.0,1,0,24196.5,27.9,5.0,17,0,295317,996952.0,0.0,0.0
11409,N,437184,0,745.0,1038312.0,1.0,0,0,21631.5,22.9,29.0,25,0,470174,655908.0,0.0,0.0
11410,Y,345620,0,743.0,1492488.0,10.0,0,2,30720.53,12.1,16.0,37,0,80560,1165956.0,0.0,0.0
11411,Y,626846,0,748.0,3093504.0,3.0,1,2,2010.77,13.1,55.0,10,0,29583,646272.0,0.0,0.0
11412,N,597256,0,697.0,1536872.0,4.0,1,1,20235.38,10.8,28.0,26,0,93461,1115664.0,0.0,0.0
11413,Y,133496,0,709.0,480415.0,6.0,1,0,11209.62,17.5,40.0,12,0,65018,173448.0,0.0,0.0
11414,Y,42922,0,730.0,1204866.0,3.0,1,0,8614.79,12.2,69.0,4,0,79933,120186.0,0.0,0.0
11415,Y,86812,0,672.0,937270.0,10.0,1,1,0.0,22.0,14.0,4,0,36233,310794.0,0.0,0.0
11416,Y,218416,0,732.0,660212.0,5.0,0,0,14304.53,15.1,10.0,7,0,149777,240196.0,0.0,0.0
11417,Y,241648,1,718.0,931665.0,8.0,1,0,14363.05,37.5,56.0,10,1,90554,284944.0,1.0,0.0
11418,Y,257422,0,718.0,833720.0,3.0,0,0,12526.51,16.8,58.0,12,0,112575,804584.0,0.0,0.0
11419,Y,163790,0,719.0,499776.0,7.0,2,0,7788.1,37.5,67.0,6,0,90877,146344.0,0.0,0.0
11420,Y,52822,0,701.0,2679418.0,9.0,0,2,35279.01,17.1,4.0,5,0,1537803,2685672.0,0.0,0.0
11421,N,440440,1,7020.0,1203631.0,5.0,1,0,29288.5,16.9,10.0,15,0,317167,671352.0,0.0,0.0
11422,Y,107492,0,669.0,1114008.0,10.0,1,1,27293.12,10.9,12.0,9,1,287470,492404.0,1.0,0.0
11423,N,132902,0,725.0,860814.0,10.0,1,0,9899.38,10.3,15.0,12,0,129162,537966.0,0.0,0.0
11424,Y,438944,1,645.0,871910.0,10.0,1,0,23250.87,12.5,17.0,9,0,244112,342210.0,0.0,0.0
11425,Y,355388,1,697.0,959120.0,10.0,1,0,15985.27,17.0,15.0,11,0,70566,213356.0,0.0,0.0
11426,Y,314842,1,673.0,2832330.0,6.0,2,1,11518.18,14.8,9.0,8,0,72865,159808.0,0.0,0.0
11427,Y,346610,1,724.0,1983030.0,0.0,0,0,13848.15,26.8,2.0,11,0,271795,536118.0,0.0,0.0
11428,N,307604,1,6770.0,1000350.0,7.0,0,0,25509.02,9.0,25.0,10,0,246012,319000.0,0.0,0.0
11429,Y,99999999,0,742.0,1153490.0,9.0,0,0,23166.13,11.6,29.0,10,0,295374,505934.0,0.0,0.0
11430,Y,131560,0,739.0,662739.0,10.0,2,0,11266.62,10.0,69.0,7,1,76855,173140.0,1.0,0.0
11431,Y,103928,0,673.0,774725.0,2.0,1,1,15300.7,15.7,23.0,15,0,83448,291016.0,0.0,0.0
11432,N,436568,0,734.0,1602403.0,10.0,1,0,19762.85,15.3,65.0,15,0,379354,678898.0,0.0,0.0
11433,N,130944,0,705.0,753920.0,1.0,1,0,14387.18,9.6,15.0,11,0,102448,275198.0,0.0,0.0
11434,Y,243628,0,702.0,743128.0,2.0,0,0,5369.02,13.0,41.0,4,0,81871,139832.0,0.0,0.0
11435,Y,71962,0,708.0,621566.0,0.0,1,0,19941.64,9.4,29.0,24,0,135888,481162.0,0.0,0.0
11436,Y,99999999,0,732.0,1230440.0,10.0,1,5,11073.96,14.6,52.0,12,0,145388,667986.0,0.0,0.0
11437,Y,436744,0,749.0,4714850.0,1.0,2,1,28564.03,18.0,40.0,13,0,114,0.0,0.0,0.0
11438,N,331100,0,743.0,1162819.0,9.0,1,0,20252.67,14.5,70.0,8,0,510302,640178.0,0.0,0.0
11439,N,175450,0,728.0,625062.0,4.0,1,0,10000.84,52.6,37.0,6,0,87039,206096.0,0.0,0.0
11440,Y,22506,0,714.0,2526069.0,3.0,0,0,25681.73,20.5,30.0,10,0,267615,470184.0,0.0,0.0
